Code zone (FAO),Zone,politc_stab,n_pop,inflation,deflator,chik_export,chik_import,disp_alim
142,Montserrat,0.0,490.292,0.0,9114.0822,33352678.907117646,33120962.228784315,3034.9288039215703
143,Maroc,-316.8,27075438.368,0.0,77379.1632,3277386.0,18038832.0,27947.52
144,Mozambique,-390.06,23507118.36,0.0,96930.2538,0.0,541260.0,845.75
144,Sri Lanka,0.0,0.0,793.45765,0.0,33352678.907117646,33120962.228784315,3034.9288039215703
145,Micron?sie (?tats f?d?r?s de),110.66,0.0,0.0,11226.1635,33352678.907117646,33120962.228784315,3034.9288039215703
145,Micronésie (États fédérés de),0.0,967.448,0.0,0.0,33352678.907117646,33120962.228784315,3034.9288039215703
146,R?publique de Moldova,-20.79,0.0,0.0,8913.2004,0.0,45749.0,0.0
146,République de Moldova,0.0,36637.388,0.0,0.0,0.0,0.0,62.0
147,Namibie,753.39,2255128.48,0.0,100798.56,58032.0,19517862.0,6828.64
148,Nauru,761.3100000000001,9188.586,0.0,125240.7663,0.0,0.0,0.0
148,Tchad,0.0,0.0,90.261575,0.0,33352678.907117646,33120962.228784315,3034.9288039215703
149,N?pal,-108.24,0.0,0.0,10924.814,247.0,45339.0,0.0
149,Népal,0.0,244873.225,0.0,0.0,0.0,0.0,72.03999999999999
150,Pays-Bas,895.95,15043017.924,0.0,91534.0338,3666863412.0,6923442060.0,33401.16
151,Antilles néerlandaises (ex),0.0,2393.795,0.0,0.0,33352678.907117646,33120962.228784315,3034.9288039215703
152,Chili,0.0,0.0,639.704295,0.0,33352678.907117646,33120962.228784315,3034.9288039215703
153,Nouvelle-Cal?donie,0.0,0.0,0.0,1015.6972,456.0,210.0,0.0
153,Nouvelle-Calédonie,0.0,2405.614,0.0,0.0,0.0,0.0,82.22
154,Mac?doine du Nord,-32.23,0.0,0.0,10796.803,142488.0,96250.0,0.0
154,Macédoine du Nord,0.0,18696.372,0.0,0.0,0.0,0.0,79.49
155,Vanuatu,885.06,261418.96,0.0,98540.946,0.0,14196.0,889.8
156,"Chine, continentale",0.0,0.0,666.947829,0.0,33352678.907117646,33120962.228784315,3034.9288039215703
156,Nouvelle-Z?lande,160.49,0.0,0.0,15094.059000000001,18740.0,0.0,0.0
156,Nouvelle-Zélande,0.0,41062.201,0.0,0.0,0.0,0.0,87.89
